Category: All categories,,,
,,,
Region,Milkshake: (4/10/25 - 4/10/26),hamburger: (4/10/25 - 4/10/26),Breakup: (4/10/25 - 4/10/26)
North Carolina,47%,27%,26%
Missouri,43%,33%,24%
Alabama,42%,34%,24%
South Carolina,43%,33%,24%
Tennessee,43%,31%,26%
Utah,44%,28%,28%
Arkansas,41%,35%,24%
West Virginia,40%,36%,24%
Nevada,44%,27%,29%
Arizona,42%,29%,29%
Kentucky,41%,34%,25%
Georgia,44%,26%,30%
Mississippi,38%,37%,25%
Ohio,42%,31%,27%
Indiana,41%,32%,27%
Oklahoma,36%,39%,25%
Texas,43%,27%,30%
Virginia,44%,25%,31%
Kansas,35%,38%,27%
Pennsylvania,41%,22%,37%
Michigan,42%,28%,30%
Illinois,43%,25%,32%
Delaware,47%,22%,31%
New Jersey,47%,17%,36%
Rhode Island,46%,21%,33%
Florida,45%,25%,30%
Idaho,38%,37%,25%
Wisconsin,38%,35%,27%
Maryland,44%,20%,36%
Louisiana,37%,34%,29%
California,41%,22%,37%
Oregon,40%,30%,30%
Connecticut,44%,21%,35%
Iowa,36%,40%,24%
Minnesota,37%,34%,29%
Colorado,38%,30%,32%
North Dakota,34%,43%,23%
New York,41%,20%,39%
Massachusetts,41%,21%,38%
Wyoming,33%,41%,26%
New Mexico,39%,30%,31%
Nebraska,34%,43%,23%
Washington,39%,27%,34%
Maine,38%,34%,28%
New Hampshire,41%,28%,31%
Alaska,34%,35%,31%
South Dakota,28%,50%,22%
Montana,32%,41%,27%
District of Columbia,39%,18%,43%
Hawaii,30%,35%,35%
Vermont,34%,31%,35%
